year,month,day,hour,O3_target,NO2_target
2024.00,5.00,5.00,0.00,2.42,76.00
2024.00,5.00,5.00,1.00,2.90,66.72
2024.00,5.00,5.00,2.00,22.05,60.10
2024.00,5.00,5.00,3.00,68.20,35.65
2024.00,5.00,5.00,4.00,121.85,26.12
2024.00,5.00,5.00,5.00,147.68,26.55
2024.00,5.00,5.00,6.00,146.75,19.12
2024.00,5.00,5.00,7.00,152.18,10.90
2024.00,5.00,5.00,8.00,147.12,9.50
2024.00,5.00,5.00,9.00,145.35,7.12
2024.00,5.00,5.00,10.00,142.90,10.38
2024.00,5.00,5.00,11.00,139.78,9.52
2024.00,5.00,5.00,12.00,134.22,11.15
2024.00,5.00,5.00,13.00,118.15,17.20
2024.00,5.00,5.00,14.00,89.27,29.30
2024.00,5.00,5.00,15.00,43.65,62.45
2024.00,5.00,5.00,16.00,40.60,59.67
2024.00,5.00,5.00,17.00,31.18,59.12
2024.00,5.00,5.00,18.00,23.82,61.70
2024.00,5.00,5.00,19.00,38.07,44.28
2024.00,5.00,5.00,20.00,37.30,33.48
2024.00,5.00,5.00,21.00,52.85,24.38
2024.00,5.00,5.00,22.00,45.43,22.35
2024.00,5.00,5.00,23.00,43.78,22.20
2022.00,3.00,26.00,0.00,21.40,32.60
2022.00,3.00,26.00,1.00,19.85,31.77
2022.00,3.00,26.00,2.00,23.52,25.53
2022.00,3.00,26.00,3.00,38.30,22.35
2022.00,3.00,26.00,4.00,68.33,17.45
2022.00,3.00,26.00,5.00,95.60,12.65
2022.00,3.00,26.00,6.00,105.75,11.23
2022.00,3.00,26.00,7.00,109.68,8.28
2022.00,3.00,26.00,8.00,103.00,8.60
2022.00,3.00,26.00,9.00,100.97,4.70
2022.00,3.00,26.00,10.00,94.45,8.38
2022.00,3.00,26.00,11.00,89.80,8.35
2022.00,3.00,26.00,12.00,87.20,12.28
2022.00,3.00,26.00,13.00,72.25,19.20
2022.00,3.00,26.00,14.00,63.97,23.67
2022.00,3.00,26.00,15.00,51.68,30.88
2022.00,3.00,26.00,16.00,53.33,29.65
2022.00,3.00,26.00,17.00,47.33,31.95
2022.00,3.00,26.00,18.00,40.90,37.68
2022.00,3.00,26.00,19.00,50.42,24.00
2022.00,3.00,26.00,20.00,55.90,17.97
2022.00,3.00,26.00,21.00,75.85,12.10
2022.00,3.00,26.00,22.00,73.03,12.98
2022.00,3.00,26.00,23.00,64.83,17.80
2024.00,4.00,11.00,0.00,4.85,63.88
2024.00,4.00,11.00,1.00,4.72,62.38
2024.00,4.00,11.00,2.00,13.80,53.10
2024.00,4.00,11.00,3.00,28.35,55.60
2024.00,4.00,11.00,4.00,64.88,41.62
2024.00,4.00,11.00,5.00,106.95,28.92
2024.00,4.00,11.00,6.00,123.40,16.15
2024.00,4.00,11.00,7.00,131.50,27.10
2024.00,4.00,11.00,8.00,153.10,34.75
2024.00,4.00,11.00,9.00,168.08,15.18
2024.00,4.00,11.00,10.00,167.00,12.40
2024.00,4.00,11.00,11.00,152.52,12.78
2024.00,4.00,11.00,12.00,137.85,9.80
2024.00,4.00,11.00,13.00,117.18,20.27
2024.00,4.00,11.00,14.00,71.12,54.73
2024.00,4.00,11.00,15.00,39.00,82.90
2024.00,4.00,11.00,16.00,50.67,64.78
2024.00,4.00,11.00,17.00,50.35,57.30
2024.00,4.00,11.00,18.00,48.13,50.97
